"X","Y","ID","0to15cm"
151.87695,-25.63249,1561,0.0347175397398083
151.21732,-25.48636,1311,0.0482089713004588
147.45428,-23.69484,4091,0.0586411281056086
151.91826,-27.76375,6521,0.0363963364776486
146.56406,-22.35612,4371,0.061903387674844
151.62285,-25.58566,271,0.0387911332906416
145.57438,-17.21884,4461,0.0372542104268547
145.45117,-26.04845,51,0.047228015454188
146.65791,-19.29447,2881,0.0584830679485104
147.08943,-19.83579,2171,0.0305638602053706
152.18424,-24.73729,2681,0.0756305892099643
152.4003,-27.21484,2191,0.0444971582936639
147.75915,-20.54902,4391,0.0512868262829919
145.52551,-17.21616,6631,0.0542702331466408
146.25843,-19.92144,201,0.0622271860751918
145.65116,-26.09835,3841,0.0649576488894933
145.53449,-23.94837,3941,0.0327771486458528
153.38021,-28.08144,3711,0.0460691774963883
145.85522,-19.69039,3341,0.0514276301232457
147.01198,-19.73903,4041,0.0378894081369744
151.8473,-26.20486,901,0.0612001997678368
151.41759,-27.156,6821,0.0325631326677768
152.99804,-26.86552,991,0.0209563960590772
152.61805,-27.95459,6191,0.0424497307225539
153.03617,-26.47964,3951,0.0440877980794945
146.53516,-19.88449,5011,0.0393292354202266
151.50954,-27.65936,4561,0.0363923350161147
148.51142,-20.44832,3171,0.0753857186014325
149.83829,-22.82853,1161,0.0557303698812346
153.24377,-27.60843,6531,0.079190368315682
153.10343,-27.77359,2701,0.0504288444579141
150.49932,-26.77583,3181,0.0640869935712923
151.91112,-28.17259,1361,0.0310705003150994
145.69466,-27.86442,4601,0.0394421101153322
152.57877,-26.8122,8921,0.0687802582031804
150.62548,-28.51181,471,0.0685534318523172
149.41575,-28.20475,4181,0.0445546176308352
147.45412,-23.69328,4092,0.0529807836743879
151.91826,-27.76375,6522,0.0372157251408197
146.57382,-22.34259,4372,0.0721645806802253
151.41714,-25.60955,272,0.0391407778346437
145.48549,-17.16481,4462,0.0424348320910825
144.50118,-26.24846,52,0.0553515476406295
152.60823,-25.78526,912,0.0464235824846269
146.67219,-19.31669,2882,0.040022939966431
149.19314,-21.2018,2482,0.00545622225355243
151.84974,-25.70378,1222,0.057733825662753
147.17065,-19.87757,2172,0.0374607836216552
152.26611,-24.77113,2682,0.0338809668245032
152.39353,-27.17689,2192,0.0367561871355442
147.76277,-20.54367,4392,0.0327345327551628
145.75117,-26.01502,3842,0.0537114912003648
147.00701,-19.73397,4042,0.0316499612051726
142.45207,-22.72505,1152,0.0473122876270905
151.87791,-26.21649,902,0.0537081069309099
144.44897,-15.56713,3902,0.0290590095316017
150.40388,-23.54231,2582,0.0382769046050388
151.4353,-26.82492,6822,0.0406035566944494
153.00101,-26.86117,992,0.0328327663169573
152.32857,-27.54248,6192,0.0783714839435748
150.14483,-26.88145,5462,0.0418031375326865
146.71861,-20.00693,5012,0.0380684810587726
151.3421,-27.73248,4562,0.0341746891270948
148.52818,-20.4481,3172,0.0401092633366786
149.84067,-22.83066,1162,0.0557024514026182
153.30613,-27.6205,6532,0.0587227817169903
150.6731,-26.75849,3182,0.0616604297520151
151.92694,-28.22055,1362,0.019117259726001
145.69441,-27.86458,4602,0.0803729740201178
152.5833,-26.82497,8922,0.0745943848559548
151.68444,-27.94803,462,0.0409740067915568
149.41873,-28.20537,4182,0.0472166258125292
151.18149,-25.48773,1313,0.0485768180385767
147.45655,-23.69466,4093,0.0424906733876574
151.79933,-26.89167,4323,0.0323162351684547
151.91826,-27.76375,6523,0.0350092169888857
146.5544,-22.34073,4373,0.0758578731495661
145.31458,-17.66043,4463,0.0412645996887297
144.50118,-26.26513,53,0.0579564930577011
146.67991,-19.29664,2883,0.0514456041028766
149.19014,-21.20136,2483,0.0105291727579236
147.13722,-19.88501,2173,0.0638932921658604
152.26402,-24.79008,2683,0.0412785829787125
147.75837,-20.54577,4393,0.0427819604985464
147.87849,-20.82705,4133,0.0524133925818326
146.00116,-26.03168,3843,0.048377937516815
153.34295,-27.98305,3713,0.0564463525331707
147.0074,-19.73433,4043,0.0452738030030906
144.43986,-15.56381,3903,0.0473475119295705
143.37039,-13.08319,2623,0.0478701264902841
151.03371,-26.77659,6823,0.0431376732225981
152.8261,-26.77574,993,0.0292505384921721
152.32611,-27.5305,6193,0.0719331153196344
151.17647,-26.97338,3333,0.0490720277342049
146.71867,-20.0062,5013,0.0357639887940893
151.96003,-27.63922,4563,0.0431424933761751
148.52531,-20.44813,3173,0.0299979200989229
149.84618,-22.83327,1163,0.0661634173945938
150.38719,-26.63819,4613,0.0596996213819946
153.06895,-27.59193,6533,0.0782021912687197
151.12916,-26.53508,3183,0.0623647400839062
145.67247,-19.52573,6133,0.0215440858983244
151.56545,-28.04846,1363,0.0320342536552694
152.60081,-26.87459,8923,0.0290212584323716
151.71146,-27.41165,463,0.0430645373339688
150.58116,-28.61839,473,0.0655442912320734
149.42044,-28.20664,4183,0.0476890736242743
147.4556,-23.69401,4094,0.0461223310827196
151.79933,-26.89167,4324,0.019651197299837
151.91826,-27.76375,6524,0.0349535080520057
146.57189,-22.33897,4374,0.0703800979829102
151.41751,-25.61004,274,0.0370344967666356
145.27162,-17.71698,4464,0.0416213655771551
147.10621,-19.9313,2174,0.0293244553545859
152.27477,-24.81271,2684,0.0367107980487883
147.75621,-20.53611,4394,0.0351827468908735
147.86533,-20.75124,4134,0.0669167425316264
144.04831,-18.48427,1584,0.0274854408703397
145.84446,-19.68989,3344,0.0623507937248165
147.00797,-19.73478,4044,0.0578269633798347
151.81611,-26.20046,904,0.0252307692524137
144.45001,-15.56265,3904,0.0492798098649875
148.86139,-23.50593,2584,0.032888002418914
143.37286,-13.08319,2624,0.0297018943181037
151.14103,-26.66972,6824,0.0364358431070045
152.34691,-27.42507,994,0.0271681037662726
150.13849,-26.95349,5464,0.0488119103825139
151.06856,-26.99493,3334,0.0475211107099188
146.72351,-20.00731,5014,0.0345064003147435
151.46258,-27.72853,4564,0.0610602813471223
148.52559,-20.42802,3174,0.0627595632485393
149.85005,-22.83681,1164,0.060852665407339
150.3755,-26.65283,4614,0.0698874166923193
151.89481,-28.1521,3184,0.034988350997497
151.236,-27.05246,464,0.0487353079692846
150.64677,-28.65654,474,0.108220466634201
149.41713,-28.20531,4184,0.0450987532988695
147.3007,-23.7689,4095,0.0344028149530415
146.57189,-22.33897,4375,0.0681400514629298
151.8617,-26.61601,275,0.0318933524918105
145.25853,-17.70602,4465,0.027239288309739
144.46784,-26.34846,55,0.0354452452099389
150.13955,-24.07938,2725,0.0480868617978927
146.67136,-19.30532,2885,0.0609412512698985
147.14399,-19.97429,2175,0.0529511424204187
152.27275,-24.81993,2685,0.0444540175238052
151.78455,-27.93908,4035,0.0333562695635469
147.75461,-20.54353,4395,0.0409492045079346
147.59541,-20.51562,4135,0.0674100029523171
146.25291,-19.92743,205,0.0566567665718911
146.41783,-26.11502,3845,0.0300127813704138
149.55677,-25.70733,6005,0.0549402493333161
153.32834,-28.06054,3715,0.0488436935516504
147.00854,-19.7355,4045,0.0631886746092109
151.81077,-26.18516,905,0.040762910020552
144.44694,-15.56435,3905,0.0278716362814494
151.39082,-26.84428,6825,0.0320806386340912
152.34133,-27.48355,995,0.0305585307281345
150.59241,-25.90071,5465,0.0294056435923649
146.53549,-19.8846,5015,0.0504071586352703
151.25887,-27.73656,4565,0.0396027157603734
148.52915,-20.40021,3175,0.0337489079323973
149.85072,-22.97579,1165,0.053032732380677
151.94582,-28.57822,1365,0.0326630962058658
145.85726,-27.79958,4605,0.0736043277326846
152.86674,-26.80122,8925,0.0340491109582536
151.4686,-27.13058,465,0.0614140752135648
150.72078,-28.63976,475,0.0729681880242043
149.42031,-28.20549,4185,0.0532207927489781
151.90399,-25.61635,1566,0.0364279353180712
147.29986,-23.76956,4096,0.064996084037212
151.75767,-26.88003,4326,0.0436301979308915
145.34304,-17.01008,4466,0.0192573936842088
144.46784,-26.36512,56,0.0376630237818965
150.31359,-24.06318,2726,0.0665850725277998
146.61739,-23.11733,5546,0.0723324230819157
146.67357,-19.29777,2886,0.0462779697465486
147.12143,-19.83622,2176,0.0211252216521105
152.29442,-24.83719,2686,0.0290989631692338
147.75009,-20.54102,4396,0.0364971500875455
145.83244,-17.60001,6636,0.0482635210702361
153.28865,-28.02073,3716,0.0563439918089029
146.26981,-19.85863,3346,0.0448843643864108
147.00911,-19.73605,4046,0.0630098784351918
151.80647,-26.17456,906,0.0425802410897177
144.44674,-15.56581,3906,0.0295198259646888
149.26476,-23.44644,2586,0.0420642672364175
151.17832,-26.78845,6826,0.0352971625185191
152.23224,-27.6465,996,0.0456035702743187
150.86232,-26.8269,5466,0.0450947612329559
146.5366,-19.88353,5016,0.0442953615837043
148.49622,-20.41315,3176,0.0554371000501313
149.84631,-22.9839,1166,0.0321633202862849
150.26158,-26.57383,4616,0.042581774057609
151.89314,-28.16782,3186,0.0632772405686743
145.72699,-19.48163,6136,0.0515796993501579
152.0155,-28.22989,1366,0.0269332864536929
145.89415,-26.90204,4606,0.0243581881056961
152.86929,-26.80183,8926,0.0397883621186786
151.282,-27.14748,466,0.0505013895303527
150.77258,-28.60814,476,0.111732417378233
149.42101,-28.20603,4186,0.0687390958133076
151.90074,-25.59059,1567,0.0275768943133805
147.29888,-23.76988,4097,0.0476555955448228
152.80719,-26.01094,277,0.0521662847645583
145.22898,-17.15459,4467,0.0368226148948498
144.45118,-26.38179,57,0.0401877149917591
147.10857,-19.89678,2177,0.0324713333138385
152.3013,-24.84625,2687,0.0456512984733364
147.74298,-20.53816,4397,0.0345364094975415
147.72327,-20.68415,4137,0.0526756339014033
147.83053,-19.92009,6637,0.0211859521582091
146.80115,-26.03167,3847,0.0575444182403816
153.29144,-28.11388,3717,0.0737570039802265
143.46235,-18.2999,3347,0.0222149511961809
147.01045,-19.73731,4047,0.0723982696727964
151.79471,-26.16995,907,0.043941546118172
144.45148,-15.56555,3907,0.0501642931758492
150.17751,-24.58478,2587,0.042675063058425
151.14514,-26.78802,6827,0.0456186888747087
150.82436,-26.46893,5467,0.0440872937699455
144.95887,-17.54166,937,0.0307463445566035
146.59133,-19.83959,5017,0.042873882260449
151.44122,-27.59468,4567,0.0343792670034882
148.47913,-20.43046,3177,0.0383088766101805
149.84305,-22.98658,1167,0.0521987219083387
151.7344,-28.68732,3187,0.0556705650728232
145.76471,-19.485,6137,0.0631836654792558
152.86775,-26.80125,8927,0.0372123788274141
151.3465,-27.27686,467,0.0604915796763077
150.86105,-28.53107,477,0.0360923842125161
149.42096,-28.2045,4187,0.0498896948108647
147.29889,-23.76842,4098,0.0532365376367568
151.74428,-26.86185,4328,0.0544895847354423
151.62071,-25.58965,278,0.0417350748484943
145.33123,-17.07143,4468,0.0448499476880282
147.21825,-20.10723,2178,0.0255107296763835
152.32411,-24.83733,2688,0.0228968407824527
147.74072,-20.54684,4398,0.0495383112131104
147.68738,-20.69151,4138,0.0767167490796337
148.197,-20.00799,6638,0.0358536503373767
146.27434,-19.90553,208,0.0458015462694715
146.91781,-26.14834,3848,0.0441014898351487
153.29363,-28.02153,3718,0.0642598307205124
151.85027,-26.17149,908,0.0634903282780892
144.4502,-15.56561,3908,0.0488217609348342
151.51499,-27.19227,6828,0.034787107625723
150.67911,-26.83394,5468,0.0488339653753869
146.58981,-19.83907,5018,0.0450818840620638
148.49742,-20.43888,3178,0.050008644567375
149.84247,-22.98713,1168,0.0639691816342259
151.73642,-28.68915,3188,0.044471483801205
145.78118,-19.46095,6138,0.0380267053228608
151.65036,-28.64048,1368,0.0619807524176814
145.90512,-26.88596,4608,0.0375440165015046
152.8238,-26.81137,8928,0.0496880216062998
149.58442,-25.26499,2618,0.0414243320175539
150.8874,-26.79012,468,0.0641031333738035
149.79241,-28.51023,478,0.097115850935337
149.42151,-28.20544,4188,0.0662809890559357
147.2984,-23.76832,4099,0.0695776964474411
151.73892,-26.89205,4329,0.0455909816348423
152.64507,-25.5848,279,0.0625499333917167
145.34015,-17.01909,4469,0.0222841066049606
144.40118,-26.68179,59,0.0672332457120966
146.6753,-19.30851,2889,0.031792439850675
147.21653,-20.10904,2179,0.0493650801410331
152.27294,-24.85247,2689,0.049724457787864
147.74033,-20.54621,4399,0.0493762504893857
147.66434,-21.91901,4449,0.0641255086520105
148.16548,-20.07596,6639,0.0369252913206215
145.56784,-26.21502,3849,0.0664516519422464
144.06489,-18.49235,1589,0.0583364154420263
145.13449,-23.5817,3949,0.0609792401750164
143.48274,-18.81589,3349,0.0620561482053632
147.01045,-19.73731,4049,0.0521758678365116
142.0104,-23.23427,1159,0.049815485621888
151.86891,-26.21569,909,0.0205811789689719
144.44571,-15.56051,3909,0.0246666122810212
151.71387,-27.97231,6829,0.0283058700710503
150.23623,-26.65969,5469,0.0505321565643511
153.05234,-26.74057,3959,0.0142420265260811
145.4829,-19.00728,5019,0.0678133077544687
151.62635,-27.68727,4569,0.0364175074058931
148.50597,-20.43023,3179,0.0415329981679276
149.88847,-23.01136,1169,0.0359141415196905
147.79652,-26.87886,4619,0.0488092694945118
151.91341,-28.448,1369,0.0388570447439033
152.83122,-26.81317,8929,0.0470310295165342
151.8714,-27.99922,469,0.0570407826139825
149.65452,-28.3461,479,0.0848717891416411
149.42358,-28.20481,4189,0.0518834252608672
147.2974,-23.76777,40910,0.0420384508903922
152.64502,-25.58411,2710,0.0559338322647654
145.39541,-16.5912,44610,0.0392683091405133
144.40118,-26.68179,510,0.0610684397742846
147.25356,-20.1998,21710,0.0224538266670183
152.26364,-24.8551,26810,0.0419780523640229
147.74761,-20.54401,43910,0.0352973429447035
147.61703,-20.56646,41310,0.0557181199844159
147.99258,-20.18183,66310,0.0274134367718102
145.85117,-26.26501,38410,0.0643393078029225
143.4857,-18.8111,33410,0.0493162483161396
147.00911,-19.73605,40410,0.0636209592649129
142.10221,-23.10721,11510,0.046254826744183
151.87191,-26.2159,9010,0.0412997873432544
144.44096,-15.56451,39010,0.0616965517473087
151.31995,-28.00416,68210,0.0409181111819339
150.77879,-26.69972,54610,0.0354544313853076
145.48333,-19.00639,50110,0.0448542278589961
151.63136,-27.60001,45610,0.0640695390794772
148.45186,-20.43453,31710,0.0584434747324356
149.89972,-23.0018,11610,0.0469744507642791
147.80461,-26.88283,46110,0.0703965149793114
151.93914,-28.63268,31810,0.0313823313245646
151.76022,-28.18494,13610,0.0295103446199453
144.93521,-26.55391,46010,0.0660656022803125
152.79196,-26.90221,89210,0.071497562229396
151.9168,-27.77864,4610,0.0331820222037234
149.6505,-28.30738,4710,0.0729374644265807
149.41983,-28.20387,41810,0.0542354862291253
150.75753,-28.06907,46611,0.0514541826621477
152.72912,-25.59327,2711,0.0759788412888629
145.44624,-17.02444,44611,0.0665724399057441
144.40118,-26.68179,511,0.050389268899657
147.26433,-20.20205,21711,0.0206858022054718
152.25871,-24.85146,26811,0.0906912182330879
147.75023,-20.54933,43911,0.0263331766120367
147.32096,-19.66428,66311,0.0175372670130771
145.9845,-26.23168,38411,0.0565372386177145
145.25115,-23.43169,39411,0.0498371272668212
153.26005,-27.93015,37111,0.0555579546613742
147.00854,-19.7355,40411,0.0547956178445701
142.12841,-22.73444,11511,0.0674207144913625
151.72445,-27.67635,68211,0.041075445420229
149.99156,-26.91476,54611,0.0426997511862832
145.54771,-18.90608,50111,0.0331345016074054
151.65828,-27.64706,45611,0.0327494964764879
148.4694,-20.4145,31711,0.0428796702658361
149.88126,-22.97731,11611,0.0513701014885115
147.81005,-26.88905,46111,0.0634150464527389
153.1166,-28.21547,12311,0.0391944720502713
151.93964,-28.63358,31811,0.0173412872313242
151.52099,-27.12021,13611,0.0210553849912759
152.7891,-26.89837,89211,0.0757804680436488
149.55109,-28.24252,4711,0.0697550271289882
149.41733,-28.20334,41811,0.0528239708101958
151.79138,-26.83428,43212,0.0113640264878523
150.75596,-28.06876,46612,0.0302861012624466
152.73094,-25.59743,2712,0.0702154352677622
145.46455,-16.96765,44612,0.0235368948607395
146.72265,-19.2669,28812,0.070715937570087
147.23697,-20.31097,21712,0.0317107733874261
152.2312,-24.81881,26812,0.0327259972661229
147.75534,-20.55527,43912,0.0495472107084874
145.33448,-23.41503,39412,0.0565447168152159
147.00797,-19.73478,40412,0.0496868537122085
